<meta-data>
nrMolecules = 5740
nrFoodSet   = 48
nrReactions = 6039

<molecules>
H2O; Water	C00001
ATP; Adenosine 5'-triphosphate	C00002
NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	C00003
NADH; DPNH; Reduced nicotinamide adenine dinucleotide	C00004
NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	C00005
NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	C00006
ADP; Adenosine 5'-diphosphate	C00008
Orthophosphate; Phosphate; Phosphoric acid; Orthophosphoric acid	C00009
CoA; Coenzyme A; CoA-SH	C00010
CO2; Carbon dioxide	C00011
Peptide	C00012
Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi	C00013
Ammonia; NH3	C00014
UDP; Uridine 5'-diphosphate	C00015
FAD; Flavin adenine dinucleotide	C00016
Protein	C00017
Pyridoxal phosphate; Pyridoxal 5-phosphate; Pyridoxal 5'-phosphate; PLP	C00018
S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM	C00019
AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate	C00020
S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	C00021
Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	C00022
Iron	C00023
Acetyl-CoA; Acetyl coenzyme A	C00024
L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	C00025
2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid	C00026
Hydrogen peroxide; H2O2; Oxydol	C00027
Acceptor; Hydrogen-acceptor; A; Oxidized donor	C00028
UDP-glucose; UDPglucose; UDP-D-glucose; Uridine diphosphate glucose; UDP-alpha-D-glucose	C00029
Reduced acceptor; AH2; Hydrogen-donor; Donor	C00030
D-Glucose; Grape sugar; Dextrose; Glucose; D-Glucopyranose	C00031
Heme; Haem; Protoheme; Heme B; Protoheme IX	C00032
Acetate; Acetic acid; Ethanoic acid	C00033
GDP; Guanosine 5'-diphosphate; Guanosine diphosphate	C00035
Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate	C00036
Glycine; Aminoacetic acid; Gly	C00037
Zinc cation; Zn2+; Zn(II); Zinc ion	C00038
DNA; DNAn; DNAn+1; (Deoxyribonucleotide)n; (Deoxyribonucleotide)m; (Deoxyribonucleotide)n+m; Deoxyribonucleic acid	C00039
Acyl-CoA; Acyl coenzyme A	C00040
L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine	C00041
Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid	C00042
UDP-N-acetyl-alpha-D-glucosamine; UDP-N-acetyl-D-glucosamine; UDP-N-acetylglucosamine	C00043
GTP; Guanosine 5'-triphosphate	C00044
Amino acid; Amino acids	C00045
RNA; RNAn; RNAn+1; RNA(linear); (Ribonucleotide)n; (Ribonucleotide)m; (Ribonucleotide)n+m; Ribonucleic acid	C00046
L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid	C00047
Glyoxylate; Glyoxalate; Glyoxylic acid	C00048
L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp	C00049
Metal	C00050
Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione	C00051
UDP-alpha-D-galactose; UDP-D-galactose; UDP-galactose; UDP-D-galactopyranose; UDP-alpha-D-galactopyranose	C00052
3'-Phosphoadenylyl sulfate; 3'-Phosphoadenosine 5'-phosphosulfate; 3'-Phospho-5'-adenylyl sulfate; PAPS	C00053
Adenosine 3',5'-bisphosphate; PAP; 3'-Phosphoadenylate; Phosphoadenosine phosphate	C00054
CMP; Cytidine-5'-monophosphate; Cytidylic acid	C00055
Formate; Methanoic acid; Formic acid	C00058
Sulfate; Sulfuric acid	C00059
Carboxylate; R-COOH; Monocarboxylate; Carboxylic acid	C00060
FMN; Riboflavin-5-phosphate; Flavin mononucleotide	C00061
L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg	C00062
CTP; Cytidine 5'-triphosphate; Cytidine triphosphate	C00063
L-Glutamine; L-2-Aminoglutaramic acid	C00064
L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine	C00065
tRNA; tRNA(n); tRNA(n+1); transfer RNA	C00066
Formaldehyde; Methanal; Oxomethane; Oxomethylene; Methylene oxide; Formalin	C00067
Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP	C00068
Alcohol	C00069
Copper; Cu+; Cu2+; Cu(II)	C00070
Aldehyde; RCHO	C00071
Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C	C00072
L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid	C00073
Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP	C00074
UTP; Uridine 5'-triphosphate; Uridine triphosphate	C00075
Calcium cation; Ca2+; Calcium(2+); Calcium ion	C00076
L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate	C00077
L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid	C00078
L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid	C00079
H+; Hydron	C00080
ITP; Inosine 5'-triphosphate; Inosine triphosphate; Inosine tripolyphosphate	C00081
L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine	C00082
Malonyl-CoA; Malonyl coenzyme A	C00083
Acetaldehyde; Ethanal	C00084
D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester	C00085
Urea; Carbamide	C00086
Sulfur; S; Elemental sulfur	C00087
Nitrite	C00088
Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside	C00089
Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol	C00090
Succinyl-CoA; Succinyl coenzyme A	C00091
D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester	C00092
sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate	C00093
Sulfite; Sulfurous acid	C00094
D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose	C00095
GDP-mannose; GDP-D-mannose; GDP-alpha-D-mannose	C00096
L-Cysteine; L-2-Amino-3-mercaptopropionic acid	C00097
beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate	C00099
Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A	C00100
Tetrahydrofolate; 5,6,7,8-Tetrahydrofolate; Tetrahydrofolic acid; THF; (6S)-Tetrahydrofolate; (6S)-Tetrahydrofolic acid; (6S)-THFA	C00101
D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate	C00103
IDP; Inosine 5'-diphosphate; Inosine diphosphate	C00104
UMP; Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate; 5'Uridylic acid	C00105
Uracil	C00106
Anthranilate; Anthranilic acid; o-Aminobenzoic acid; Vitamin L1; 2-Aminobenzoate	C00108
2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate	C00109
Dolichyl phosphate; Dolichol phosphate	C00110
Glycerone phosphate; Dihydroxyacetone phosphate; 3-Hydroxy-2-oxopropyl phosphate	C00111
CDP; Cytidine 5'-diphosphate; Cytidine diphosphate	C00112
PQQ; Pyrrolo-quinoline quinone; Pyrroloquinoline-quinone; Pyrroloquinoline quinone; 4,5-Dioxo-4,5-dihydro-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate; Methoxatin	C00113
Choline; Bilineurine	C00114
Glycerol; Glycerin; 1,2,3-Trihydroxypropane; 1,2,3-Propanetriol	C00116
D-Ribose 5-phosphate; Ribose 5-phosphate	C00117
D-Glyceraldehyde 3-phosphate; (2R)-2-Hydroxy-3-(phosphonooxy)-propanal; Glyceraldehyde 3-phosphate	C00118
5-Phospho-alpha-D-ribose 1-diphosphate; 5-Phosphoribosyl diphosphate; 5-Phosphoribosyl 1-pyrophosphate; PRPP	C00119
Biotin; D-Biotin; Vitamin H; Coenzyme R	C00120
D-Ribose	C00121
Fumarate; Fumaric acid; trans-Butenedioic acid	C00122
L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine	C00123
D-Galactose; D-Galactopyranose	C00124
Ferricytochrome c; Cytochrome c3+	C00125
Ferrocytochrome c; Cytochrome c2+; Reduced cytochrome c	C00126
Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione	C00127
CMP-N-acetylneuraminate; CMP-N-acetyl-beta-neuraminate	C00128
Isopentenyl diphosphate; Delta3-Isopentenyl diphosphate; Delta3-Methyl-3-butenyl diphosphate	C00129
IMP; Inosinic acid; Inosine monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; 5'-Inosinate; 5'-Inosinic acid; 5'-Inosine monophosphate; 5'-IMP	C00130
dATP; 2'-Deoxyadenosine 5'-triphosphate; Deoxyadenosine 5'-triphosphate; Deoxyadenosine triphosphate	C00131
Methanol; Methyl alcohol; CH3OH	C00132
D-Alanine; D-2-Aminopropionic acid; D-Ala	C00133
Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine; Butane-1,4-diamine	C00134
L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid	C00135
Butanoyl-CoA; Butyryl-CoA	C00136
myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I	C00137
Reduced ferredoxin; Reduced ferredoxin [iron-sulfur] cluster	C00138
Oxidized ferredoxin; Oxidized ferredoxin [iron-sulfur] cluster	C00139
N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc	C00140
3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid	C00141
5,10-Methylenetetrahydrofolate; (6R)-5,10-Methylenetetrahydrofolate; 5,10-Methylene-THF	C00143
GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid	C00144
Thiol; Mercaptan	C00145
Phenol; Benzenol; Hydroxybenzene; Phenic acid; Phenylic acid	C00146
Adenine; 6-Aminopurine	C00147
L-Proline; 2-Pyrrolidinecarboxylic acid	C00148
(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid	C00149
L-Amino acid; L-2-Amino acid	C00151
L-Asparagine; 2-Aminosuccinamic acid	C00152
Nicotinamide; Nicotinic acid amide; Niacinamide; Vitamin PP	C00153
Palmitoyl-CoA; Hexadecanoyl-CoA	C00154
L-Homocysteine; L-2-Amino-4-mercaptobutyric acid; Homocysteine	C00155
4-Hydroxybenzoate; Hydroxybenzoic acid; 4-Hydroxybenzoic acid; Hydroxybenzenecarboxylic acid	C00156
Phosphatidylcholine; Lecithin; Phosphatidyl-N-trimethylethanolamine; 1,2-Diacyl-sn-glycero-3-phosphocholine; Choline phosphatide; 3-sn-Phosphatidylcholine	C00157
Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid	C00158
D-Mannose; Mannose; Seminose; Carubinose	C00159
Glycolate; Glycolic acid; Hydroxyacetic acid	C00160
