R02124	C00473 + C00003 <=> C00376 + C00004 + C00080	Flavins Hemes C00038 C14818 C14819 & NADs
R00623	C00226 + C00003 <=> C00071 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R00754	C00469 + C00003 <=> C00084 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R02878	C00756 + C00003 <=> C01545 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R00624	C01612 + C00003 <=> C01450 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R04805	C05444 + C00003 <=> C05445 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R04880	C05576 + C00003 <=> C05577 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R05233	C06611 + C00003 => C06613 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R05234	C06612 + C00003 => C16348 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R06917	C14089 + C00003 => C14090 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R06927	C02909 + C00003 => C14099 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R07105	C06899 + C00004 + C00080 => C07490 + C00003 + C00001	Flavins C00038 Hemes C14818 C14819 & NADs
R08281	C07645 + C00004 + C00080 => C16551 + C00003	Flavins C00038 Hemes C14818 C14819 & NADs
R08306	C16586 + C00003 => C16587 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R08310	C16595 + C00003 => C16596 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R08557	C00114 + C00003 => C00576 + C00004 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R08558	C00114 + C00006 => C00576 + C00005 + C00080	Flavins C00038 Hemes C14818 C14819 & NADs
R10783	C16310 + C00004 + C00080 => C08492 + C00003	Flavins C00038 Hemes C14818 C14819 & NADs
R01465	C00188 + C00003 => C03508 + C00004 + C00080	C01413 C00175 C00038 & NADs
R00421	C00043 + 2 C00003 + C00001 => C04573 + 2 C00004 + 2 C00080	C01342 C00238 & NADs
R03945	C02452 + C00003 => C02576 + C00004 + C00080	IronSulfurClusters C00038 & NADs
R02377	C05979 + C00003 => C00479 + C00004 + C00080	C14818 C14819 & NADs
R03119	C02457 + C00003 => C00969 + C00004 + C00080	C14818 C14819 & NADs
R01158	C00860 + 2 C00003 + C00001 => C00135 + 2 C00004 + 2 C00080	C19610 C00038 & C00018 & NADs
R01163	C01929 + C00001 + C00003 => C00135 + C00004 + C00080	C19610 C00038 & C00018 & NADs
R03012	C00860 + C00003 => C01929 + C00004 + C00080	C19610 C00038 & C00018 & NADs
R02413	C00493 + C00006 <=> C02637 + C00005 + C00080	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696 & NADs
R05679	C00623 + C00003 => C00111 + C00004 + C00080	C19609 C00038 & NADs
R05680	C00623 + C00006 => C00111 + C00005 + C00080	C19609 C00038 & NADs
R05681	C06055 + C00003 => C07335 + C00004 + C00080	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696 & NADs
R05837	C06055 + C00003 <=> C11638 + C00004 + C00080 + C00011	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696 & NADs
R05688	C11434 + C00006 => C11437 + C00005 + C00080	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696 & NADs
R01773	C00263 + C00003 <=> C00441 + C00004 + C00080	C00018 C19610 C00305 & NADs
R01775	C00263 + C00006 <=> C00441 + C00005 + C00080	C00018 C19610 C00305 & NADs
R09544	C19674 + C00003 <=> C00231 + C00004 + C00080	C00038 C19610 & NADs
R09478	C06451 + C00003 => C03167 + C00004 + C00080	C14818 C14819 & NADs
R00342	C00149 + C00003 <=> C00036 + C00004 + C00080	C00038 C19610 C00305 & NADs
R07136	C11537 + C00003 <=> C05528 + C00004 + C00080	C00038 C19610 C00305 & NADs
R00214	C00149 + C00003 <=> C00022 + C00011 + C00004 + C00080	C00038 C19610 C00305 & NADs
R02946	C03044 + C00003 <=> C00810 + C00004 + C00080	C19610 C00038 C00305 & NADs
